商品商品,现货价格,最近合约代码,最近合约价格,最近合约现期差1,主力合约代码,主力合约价格,主力合约现期差2,timestamp
玻璃,19.80,2210,1625,-41-2.59%,2301,1523,613.85%,20221013
菜籽粕,4262.00,2211,3894,3688.63%,2301,3175,108725.50%,20221013
油菜籽,6928.00,2211,6135,79311.45%,2307,5824,110415.94%,20221013
硅铁,8257.14,2210,8394,-136-1.65%,2212,8436,-178-2.16%,20221013
锰硅,7225.00,2210,7376,-151-2.09%,2301,7250,-25-0.35%,20221013
甲醇MA,2850.00,2210,2815,351.23%,2301,2752,983.44%,20221013
棉纱,26200.00,2210,22880,332012.67%,2301,20760,544020.76%,20221013
尿素,2528.00,2210,2400,1285.06%,2301,2476,522.06%,20221013
纯碱,2791.67,2210,2630,1615.77%,2301,2493,29810.67%,20221013
涤纶短纤,8093.33,2210,7632,4615.70%,2212,7060,103312.76%,20221013
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20221013
棕榈油,8087.50,2210,8168,-80-0.99%,2301,7676,4115.08%,20221013
聚氯乙烯,6324.29,2210,6233,911.44%,2301,6102,2223.51%,20221013
聚乙烯,8625.71,2210,8398,2272.63%,2301,7985,6407.42%,20221013
豆一,5850.00,2211,5846,4.000.07%,2301,5779,711.21%,20221013
豆粕,5382.00,2211,5054,3286.09%,2301,4088,129424.04%,20221013
豆油,11210.00,2211,10708,5024.48%,2301,9464,174615.58%,20221013
玉米,2797.14,2211,2808,-10-0.36%,2301,2839,-41-1.47%,20221013
铁矿石,761.33,2210,753.5,70.92%,2301,706.5,547.09%,20221013
鸡蛋,12.02,2210,4969,104117.32%,2301,4530,148024.63%,20221013
聚丙烯,8316.67,2210,8021,2953.55%,2301,7833,4835.81%,20221013
玉米淀粉,3172.00,2211,2871,3019.49%,2211,2871,3019.49%,20221013
乙二醇,4283.33,2210,4070,2134.97%,2301,4114,1693.95%,20221013
苯乙烯,8866.67,2210,8582,2843.20%,2211,8317,5496.19%,20221013
液化石油气,5498.00,2210,5174,3245.89%,2211,5086,4127.49%,20221013
生猪,26.52,2211,26265,2550.96%,2301,23920,26009.80%,20221013
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20221014
铜,64885.00,2210,64890,-5-0.01%,2211,62940,19453.00%,20221014
螺纹钢,3945.56,2210,3818,1273.22%,2301,3739,2065.22%,20221014
锌,25570.00,2210,26035,-465-1.82%,2211,24630,9403.68%,20221014
铝,18726.67,2210,18760,-33-0.18%,2211,18610,1160.62%,20221014
黄金,392.24,2210,392.5,-0.26-0.07%,2212,391.64,0.600.15%,20221014
线材,4194.00,2210,4780,-586-13.97%,2301,4448,-254-6.06%,20221014
燃料油,6630.00,2211,2977,365355.10%,2301,2706,392459.19%,20221014
天然橡胶,12142.00,2210,11760,3823.15%,2301,12815,-673-5.54%,20221014
铅,15212.50,2210,15320,-107-0.70%,2211,15310,-97-0.64%,20221014
白银,4411.67,2210,4445,-33-0.75%,2212,4415,-3.33-0.08%,20221014
石油沥青,4475.14,2210,4170,3056.82%,2212,3998,47710.66%,20221014
热轧卷板,3912.00,2210,3837,751.92%,2301,3743,1694.32%,20221014
镍,192016.67,2210,185510,65063.39%,2211,182280,97365.07%,20221014
锡,181950.00,2210,180910,10400.57%,2211,174950,70003.85%,20221014
纸浆,7600.00,2210,7212,3885.11%,2301,6732,86811.42%,20221014
不锈钢,17392.50,2210,17180,2121.22%,2211,16900,4922.83%,20221014
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20221014
PTA,6049.17,2210,5882,1672.76%,2301,5486,5639.31%,20221014
白糖,5758.00,2211,5557,2013.49%,2301,5632,1262.19%,20221014
棉花,15937.83,2211,14330,160710.08%,2301,13775,216213.57%,20221014
普麦,3062.00,2211,2940,1223.98%,2309,3122,-60-1.96%,20221014
菜籽油OI,13852.00,2211,13338,5143.71%,2301,11270,258218.64%,20221014
强麦WH,3062.00,2211,3112,-50-1.63%,2303,3218,-156-5.09%,20221014
玻璃,19.80,2210,1614,-30-1.89%,2301,1519,654.10%,20221014
菜籽粕,4252.00,2211,3802,45010.58%,2301,3190,106224.98%,20221014
油菜籽,6928.00,2211,6032,89612.93%,2307,5725,120317.36%,20221014
硅铁,8292.86,2210,8240,520.63%,2212,8378,-85-1.02%,20221014
锰硅,7225.00,2210,7390,-165-2.28%,2301,7298,-73-1.01%,20221014
甲醇MA,2862.50,2210,2819,431.50%,2301,2739,1234.30%,20221014
棉纱,26200.00,2210,22730,347013.24%,2301,20625,557521.28%,20221014
尿素,2530.00,2210,2448,823.24%,2301,2435,953.75%,20221014
纯碱,2791.67,2210,2631,1605.73%,2301,2486,30510.93%,20221014
涤纶短纤,8085.00,2210,7732,3534.37%,2212,7068,101712.58%,20221014
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20221014
棕榈油,8175.00,2210,7902,2733.34%,2301,7622,5536.76%,20221014
聚氯乙烯,6281.43,2210,6230,510.81%,2301,6036,2453.90%,20221014
聚乙烯,8611.43,2210,8398,2132.47%,2301,7898,7138.28%,20221014
豆一,5850.00,2211,5851,-1.00-0.02%,2301,5767,831.42%,20221014
豆粕,5412.00,2211,5045,3676.78%,2301,4123,128923.82%,20221014
豆油,11242.00,2211,10578,6645.91%,2301,9488,175415.60%,20221014
玉米,2797.14,2211,2821,-23-0.82%,2301,2852,-54-1.93%,20221014
铁矿石,756.22,2210,753.5,2.720.36%,2301,700.5,557.27%,20221014
鸡蛋,12.35,2210,5087,108817.62%,2301,4539,163626.49%,20221014
聚丙烯,8200.00,2210,7990,2102.56%,2301,7739,4615.62%,20221014
玉米淀粉,3176.00,2211,2865,3119.79%,2211,2865,3119.79%,20221014
乙二醇,4258.33,2210,4070,1884.41%,2301,4070,1884.41%,20221014
苯乙烯,8816.67,2210,8539,2773.14%,2211,8332,4845.49%,20221014
液化石油气,5488.00,2210,5174,3145.72%,2211,5016,4728.60%,20221014
生猪,26.82,2211,26065,7552.82%,2301,23875,294510.98%,20221014
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20221017
铜,64616.67,2210,64440,1760.27%,2211,63200,14162.19%,20221017
螺纹钢,3906.67,2210,3756,1503.84%,2301,3694,2125.43%,20221017
锌,25450.00,2210,26455,-1005-3.95%,2211,24660,7903.10%,20221017
铝,18516.67,2210,18620,-103-0.56%,2211,18550,-33-0.18%,20221017
黄金,391.39,2210,392.5,-1.11-0.28%,2212,390.76,0.630.16%,20221017
线材,4174.00,2210,4780,-606-14.52%,2301,4382,-208-4.98%,20221017
燃料油,6630.00,2211,2963,366755.31%,2301,2648,398260.06%,20221017
天然橡胶,12130.00,2210,11780,3502.89%,2301,12860,-730-6.02%,20221017
铅,15212.50,2210,15305,-92-0.60%,2211,15310,-97-0.64%,20221017
白银,4363.33,2210,4338,250.57%,2212,4380,-16-0.37%,20221017
石油沥青,4466.57,2210,4209,2575.75%,2212,3956,51011.42%,20221017
热轧卷板,3854.00,2210,3810,441.14%,2301,3706,1483.84%,20221017
镍,189450.00,2210,186540,29101.54%,2211,181680,77704.10%,20221017
锡,180950.00,2210,180760,1900.11%,2212,169330,116206.42%,20221017
纸浆,7600.00,2210,7212,3885.11%,2301,6698,90211.87%,20221017
不锈钢,17525.00,2210,17450,750.43%,2211,17115,4102.34%,20221017
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20221017
PTA,6041.25,2210,5912,1292.14%,2301,5418,62310.31%,20221017
白糖,5770.00,2211,5620,1502.60%,2301,5653,1172.03%,20221017
棉花,15940.00,2211,14345,159510.01%,2301,13745,219513.77%,20221017
普麦,3062.00,2211,2940,1223.98%,2309,3122,-60-1.96%,20221017
菜籽油OI,13716.00,2211,13218,4983.63%,2301,11138,257818.80%,20221017
强麦WH,3062.00,2211,3112,-50-1.63%,2303,3258,-196-6.40%,20221017
玻璃,19.93,2210,1546,483.01%,2301,1506,885.52%,20221017
菜籽粕,4228.00,2211,3591,63715.07%,2301,3153,107525.43%,20221017
油菜籽,6936.00,2211,6227,70910.22%,2307,5641,129518.67%,20221017
硅铁,8292.86,2210,8216,760.92%,2212,8222,700.84%,20221017
锰硅,7225.00,2210,7450,-225-3.11%,2301,7274,-49-0.68%,20221017
甲醇MA,2812.50,2210,2795,170.60%,2301,2693,1194.23%,20221017
棉纱,26200.00,2210,22835,336512.84%,2301,20720,548020.92%,20221017
尿素,2530.00,2210,2435,953.75%,2301,2353,1777.00%,20221017
纯碱,2805.00,2210,2611,1946.92%,2301,2469,33611.98%,20221017
涤纶短纤,8051.67,2210,7574,4775.92%,2212,7026,102512.73%,20221017
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20221017
棕榈油,8037.50,2210,8100,-62-0.77%,2301,7700,3374.19%,20221017
聚氯乙烯,6221.43,2210,6081,1402.25%,2301,5960,2614.20%,20221017
聚乙烯,8528.57,2210,8398,1301.52%,2301,7855,6737.89%,20221017
豆一,5812.50,2211,5848,-35-0.60%,2301,5762,500.86%,20221017
豆粕,5436.00,2211,4995,4418.11%,2301,4111,132524.37%,20221017
豆油,11050.00,2211,10522,5284.78%,2301,9452,159814.46%,20221017
玉米,2795.71,2211,2829,-33-1.18%,2301,2856,-60-2.15%,20221017
铁矿石,745.00,2210,753.5,-8-1.07%,2301,689.5,557.38%,20221017
鸡蛋,12.24,2210,5001,111918.28%,2301,4535,158525.90%,20221017
聚丙烯,8166.67,2210,7892,2743.36%,2301,7687,4795.87%,20221017
玉米淀粉,3182.00,2211,2862,32010.06%,2211,2862,32010.06%,20221017
乙二醇,4183.33,2210,4070,1132.70%,2301,4035,1483.54%,20221017
苯乙烯,8800.00,2210,8604,1962.23%,2211,8351,4495.10%,20221017
液化石油气,5498.00,2210,5005,4938.97%,2211,4905,59310.79%,20221017
生猪,27.07,2211,25925,11454.23%,2301,23620,345012.74%,20221017
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20221018
铜,63563.33,2211,62830,7331.15%,2211,62830,7331.15%,20221018
螺纹钢,3876.67,2211,3751,1253.22%,2301,3666,2105.42%,20221018
锌,25246.00,2211,24505,7412.94%,2211,24505,7412.94%,20221018
铝,18323.33,2211,18325,-1.67-0.01%,2211,18325,-1.67-0.01%,20221018
黄金,391.40,2211,391.5,-0.10-0.03%,2212,391.3,0.100.03%,20221018
线材,4154.00,2211,4656,-502-12.08%,2301,4358,-204-4.91%,20221018
燃料油,6630.00,2211,2970,366055.20%,2301,2650,398060.03%,20221018
天然橡胶,11980.00,2211,11710,2702.25%,2301,12685,-705-5.88%,20221018
铅,15212.50,2211,15320,-107-0.70%,2211,15320,-107-0.70%,20221018
白银,4388.67,2211,4404,-15-0.34%,2212,4407,-18-0.41%,20221018
石油沥青,4469.43,2211,4163,3066.85%,2212,3947,52211.68%,20221018
热轧卷板,3842.00,2211,3752,902.34%,2301,3680,1624.22%,20221018
镍,186616.67,2211,179680,69363.72%,2211,179680,69363.72%,20221018
锡,178950.00,2211,173430,55203.08%,2212,168020,109306.11%,20221018
纸浆,7580.00,2211,7104,4766.28%,2301,6732,84811.19%,20221018
不锈钢,17525.00,2211,17150,3752.14%,2211,17150,3752.14%,20221018
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20221018
PTA,6158.33,2210,5918,2403.90%,2301,5448,71011.53%,20221018
白糖,5768.00,2211,5622,1462.53%,2301,5654,1141.98%,20221018
棉花,15915.83,2211,14195,172010.81%,2301,13635,228014.33%,20221018
普麦,3108.00,2211,2940,1685.41%,2309,3122,-14-0.45%,20221018
菜籽油OI,13716.00,2211,13077,6394.66%,2301,11080,263619.22%,20221018
强麦WH,3108.00,2211,3112,-4.00-0.13%,2303,3258,-150-4.83%,20221018
玻璃,19.93,2210,1536,583.64%,2301,1485,1096.84%,20221018
菜籽粕,4218.00,2211,3455,76318.09%,2301,3066,115227.31%,20221018
油菜籽,6936.00,2211,6307,6299.07%,2307,5612,132419.09%,20221018
硅铁,8064.29,2210,8272,-207-2.57%,2212,8138,-73-0.91%,20221018
锰硅,7225.00,2210,7392,-167-2.31%,2301,7190,350.48%,20221018
甲醇MA,2800.00,2210,2778,220.79%,2301,2658,1425.07%,20221018
棉纱,26125.00,2210,22905,322012.33%,2301,20785,534020.44%,20221018
尿素,2526.00,2210,2370,1566.18%,2301,2320,2068.16%,20221018
纯碱,2805.00,2210,2579,2268.06%,2301,2454,35112.51%,20221018
涤纶短纤,8001.67,2210,7574,4275.34%,2212,7080,92111.51%,20221018
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20221018
棕榈油,8372.50,2210,8100,2723.25%,2301,7836,5366.40%,20221018
聚氯乙烯,6221.43,2210,6059,1622.60%,2301,5884,3375.42%,20221018
聚乙烯,8502.86,2210,8065,4375.14%,2301,7796,7068.30%,20221018
豆一,5812.50,2211,5843,-30-0.52%,2301,5771,410.71%,20221018
豆粕,5356.00,2211,4870,4869.07%,2301,4032,132424.72%,20221018
豆油,11142.00,2211,10414,7286.53%,2301,9448,169415.20%,20221018
玉米,2795.71,2211,2821,-25-0.89%,2301,2848,-52-1.86%,20221018
铁矿石,741.33,2210,753.5,-12-1.62%,2301,685.5,557.42%,20221018
鸡蛋,12.19,2210,5000,109517.97%,2301,4465,163026.74%,20221018
聚丙烯,8108.33,2210,7797,3113.84%,2301,7647,4615.69%,20221018
玉米淀粉,3192.00,2211,2859,33310.43%,2211,2859,33310.43%,20221018
乙二醇,4183.33,2210,3997,1864.45%,2301,4049,1343.20%,20221018
苯乙烯,8766.67,2210,8535,2312.63%,2211,8357,4094.67%,20221018
液化石油气,5504.00,2210,5035,4698.52%,2211,4920,58410.61%,20221018
生猪,27.23,2211,26660,5702.09%,2301,23920,331012.16%,20221018
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20221019
铜,63035.00,2211,62210,8251.31%,2212,61330,17052.70%,20221019
螺纹钢,3884.44,2211,3748,1363.50%,2301,3662,2225.72%,20221019
锌,25628.00,2211,24720,9083.54%,2211,24720,9083.54%,20221019
铝,18400.00,2211,18285,1150.62%,2211,18285,1150.62%,20221019
黄金,391.40,2211,390.24,1.160.30%,2212,390.8,0.600.15%,20221019
线材,4158.00,2211,4656,-498-11.98%,2301,4359,-201-4.83%,20221019
燃料油,6630.00,2211,2962,366855.32%,2301,2642,398860.15%,20221019
天然橡胶,11996.00,2211,11735,2612.18%,2301,12700,-704-5.87%,20221019
铅,15225.00,2211,15295,-70-0.46%,2211,15295,-70-0.46%,20221019
白银,4395.67,2211,4403,-7-0.16%,2212,4400,-4.33-0.10%,20221019
石油沥青,4472.29,2211,4115,3577.98%,2212,3901,57112.77%,20221019
热轧卷板,3850.00,2211,3787,631.64%,2301,3679,1714.44%,20221019
镍,192450.00,2211,183120,93304.85%,2211,183120,93304.85%,20221019
锡,179887.50,2211,174210,56773.16%,2212,169520,103675.76%,20221019
纸浆,7560.00,2211,7124,4365.77%,2301,6798,76210.08%,20221019
不锈钢,17612.50,2211,17310,3021.71%,2211,17310,3021.71%,20221019
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20221019
PTA,6082.50,2210,5964,1181.94%,2301,5402,68011.18%,20221019
白糖,5766.00,2211,5603,1632.83%,2301,5639,1272.20%,20221019
棉花,15878.17,2211,14115,176311.10%,2301,13505,237314.95%,20221019
普麦,3120.00,2211,2940,1805.77%,2309,3122,-2.00-0.06%,20221019
菜籽油OI,13860.00,2211,13075,7855.66%,2301,11288,257218.56%,20221019
强麦WH,3120.00,2211,3112,80.26%,2303,3258,-138-4.42%,20221019
玻璃,19.93,2210,1525,694.33%,2301,1474,1207.53%,20221019
菜籽粕,4214.00,2211,3447,76718.20%,2301,3045,116927.74%,20221019
油菜籽,6936.00,2211,6307,6299.07%,2307,5645,129118.61%,20221019
硅铁,8064.29,2210,8234,-169-2.10%,2212,8164,-99-1.23%,20221019
锰硅,7225.00,2210,7310,-85-1.18%,2301,7136,891.23%,20221019
甲醇MA,2886.00,2210,2776,1103.81%,2301,2654,2328.04%,20221019
棉纱,26125.00,2210,22540,358513.72%,2301,20455,567021.70%,20221019
尿素,2526.00,2210,2360,1666.57%,2301,2294,2329.18%,20221019
纯碱,2805.00,2210,2581,2247.99%,2301,2455,35012.48%,20221019
涤纶短纤,7943.33,2210,7574,3694.65%,2212,7012,93111.72%,20221019
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20221019
棕榈油,8450.00,2210,8100,3504.14%,2301,8068,3824.52%,20221019
聚氯乙烯,6221.43,2210,6001,2203.54%,2301,5907,3145.05%,20221019
聚乙烯,8488.57,2210,8065,4234.98%,2301,7757,7318.61%,20221019
豆一,5812.50,2211,5879,-66-1.14%,2301,5778,340.58%,20221019
豆粕,5304.00,2211,4773,53110.01%,2301,3992,131224.74%,20221019
豆油,11030.00,2211,10476,5545.02%,2301,9524,150613.65%,20221019
玉米,2795.71,2211,2826,-30-1.07%,2301,2852,-56-2.00%,20221019
铁矿石,739.44,2210,750,-10-1.35%,2301,688,516.90%,20221019
鸡蛋,12.12,2210,5048,101116.68%,2301,4451,160826.53%,20221019
聚丙烯,8091.67,2210,7812,2793.45%,2301,7589,5026.20%,20221019
玉米淀粉,3192.00,2211,2875,3179.93%,2301,3067,1253.92%,20221019
乙二醇,4183.33,2210,3972,2115.04%,2301,4004,1794.28%,20221019
苯乙烯,8750.00,2210,8394,3564.07%,2211,8184,5666.47%,20221019
液化石油气,5514.00,2210,5151,3636.58%,2211,5054,4608.34%,20221019
生猪,27.48,2211,26540,9403.42%,2301,23730,375013.65%,20221019
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20221020
铜,62818.33,2211,62170,6481.03%,2212,61160,16582.64%,20221020
螺纹钢,3852.22,2211,3696,1564.05%,2301,3622,2305.97%,20221020
锌,25780.00,2211,25110,6702.60%,2211,25110,6702.60%,20221020
铝,18456.67,2211,18410,460.25%,2211,18410,460.25%,20221020
黄金,388.65,2211,389.34,-0.69-0.18%,2212,388.88,-0.23-0.06%,20221020
线材,4134.00,2211,4656,-522-12.63%,2301,4338,-204-4.93%,20221020
燃料油,6630.00,2211,3012,361854.57%,2301,2743,388758.63%,20221020
天然橡胶,11770.00,2211,11495,2752.34%,2301,12435,-665-5.65%,20221020
铅,15231.25,2211,15340,-108-0.71%,2211,15340,-108-0.71%,20221020
白银,4351.67,2211,4375,-23-0.53%,2212,4377,-25-0.57%,20221020
石油沥青,4479.43,2211,4088,3918.73%,2212,3856,62313.91%,20221020
热轧卷板,3834.00,2211,3752,822.14%,2301,3639,1955.09%,20221020
镍,194183.33,2211,186340,78434.04%,2211,186340,78434.04%,20221020
锡,178450.00,2211,173800,46502.61%,2212,168610,98405.51%,20221020
纸浆,7550.00,2211,7126,4245.62%,2301,6810,7409.80%,20221020
不锈钢,17762.50,2211,17585,1771.00%,2211,17585,1771.00%,20221020
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20221020
PTA,6089.17,2210,5976,1131.86%,2301,5400,68911.32%,20221020
白糖,5772.00,2211,5589,1833.17%,2301,5653,1192.06%,20221020
棉花,15857.67,2211,14000,185711.71%,2301,13275,258216.28%,20221020
普麦,3120.00,2211,2940,1805.77%,2309,3122,-2.00-0.06%,20221020
菜籽油OI,13860.00,2211,13058,8025.79%,2301,11316,254418.35%,20221020
强麦WH,3120.00,2211,3112,80.26%,2303,3258,-138-4.42%,20221020
玻璃,19.88,2210,1515,754.72%,2301,1464,1267.92%,20221020
菜籽粕,4184.00,2211,3469,71517.09%,2301,3041,114327.32%,20221020
油菜籽,6936.00,2211,6307,6299.07%,2307,5619,131718.99%,20221020
硅铁,8082.86,2210,8300,-217-2.68%,2212,8192,-109-1.35%,20221020
锰硅,7225.00,2210,7242,-17-0.24%,2301,7072,1532.12%,20221020
甲醇MA,2898.00,2210,2790,1083.73%,2301,2693,2057.07%,20221020
棉纱,26125.00,2210,22255,387014.81%,2301,20195,593022.70%,20221020
尿素,2520.00,2210,2333,1877.42%,2301,2269,2519.96%,20221020
纯碱,2745.00,2210,2582,1635.94%,2301,2445,30010.93%,20221020
涤纶短纤,7942.00,2210,7618,3244.08%,2212,7052,89011.21%,20221020
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20221020
棕榈油,8550.00,2210,8100,4505.26%,2301,8206,3444.02%,20221020
聚氯乙烯,6204.29,2210,6002,2023.26%,2301,5921,2834.56%,20221020
聚乙烯,8452.86,2210,8065,3874.58%,2301,7785,6677.89%,20221020
豆一,5812.50,2211,5828,-15-0.26%,2301,5686,1262.17%,20221020
豆粕,5306.00,2211,4837,4698.84%,2301,4009,129724.44%,20221020
豆油,10970.00,2211,10464,5064.61%,2301,9586,138412.62%,20221020
玉米,2794.29,2211,2823,-28-1.00%,2301,2849,-54-1.93%,20221020
铁矿石,736.00,2210,750,-14-1.90%,2301,676,608.15%,20221020
鸡蛋,12.02,2210,5155,85514.23%,2301,4463,154725.74%,20221020
聚丙烯,8025.00,2210,7836,1892.36%,2301,7622,4035.02%,20221020
玉米淀粉,3208.00,2211,2892,3169.85%,2301,3065,1434.46%,20221020
乙二醇,4158.33,2210,3972,1864.47%,2301,4019,1393.34%,20221020
苯乙烯,8616.67,2210,8394,2222.58%,2211,8334,2823.27%,20221020
液化石油气,5514.00,2210,5259,2554.62%,2212,4985,5299.59%,20221020
生猪,27.62,2211,26250,13704.96%,2301,23440,418015.13%,20221020
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20221021
铜,64023.33,2211,63070,9531.49%,2212,62030,19933.11%,20221021
螺纹钢,3850.00,2211,3707,1433.71%,2301,3634,2165.61%,20221021
锌,25904.00,2211,25215,6892.66%,2211,25215,6892.66%,20221021
铝,18676.67,2211,18625,510.27%,2211,18625,510.27%,20221021
黄金,388.79,2211,388.54,0.250.06%,2212,388.3,0.490.13%,20221021
线材,4146.00,2211,4656,-510-12.30%,2301,4355,-209-5.04%,20221021
燃料油,6630.00,2211,3015,361554.52%,2301,2719,391158.99%,20221021
天然橡胶,11710.00,2211,11420,2902.48%,2301,12365,-655-5.59%,20221021
铅,15350.00,2211,15450,-100-0.65%,2211,15450,-100-0.65%,20221021
白银,4390.00,2211,4381,90.21%,2212,4407,-17-0.39%,20221021
石油沥青,4475.14,2211,4145,3307.37%,2212,3843,63214.12%,20221021
热轧卷板,3844.00,2211,3779,651.69%,2301,3649,1955.07%,20221021
镍,188850.00,2211,184970,38802.05%,2211,184970,38802.05%,20221021
锡,176450.00,2211,172190,42602.41%,2212,167060,93905.32%,20221021
纸浆,7510.00,2211,7144,3664.87%,2301,6796,7149.51%,20221021
不锈钢,17900.00,2211,17675,2251.26%,2212,17235,6653.72%,20221021
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20221021
PTA,6054.17,2210,5976,781.29%,2301,5404,65010.74%,20221021
白糖,5768.00,2211,5597,1712.96%,2301,5641,1272.20%,20221021
棉花,15811.83,2211,14035,177611.23%,2301,13225,258616.35%,20221021
普麦,3114.00,2211,2940,1745.59%,2309,3122,-8-0.26%,20221021
菜籽油OI,13740.00,2211,12916,8246.00%,2301,11171,256918.70%,20221021
强麦WH,3114.00,2211,3112,2.000.06%,2303,3258,-144-4.62%,20221021
玻璃,19.77,2210,1515,664.17%,2301,1461,1207.59%,20221021
菜籽粕,4160.00,2211,3541,61914.88%,2301,3047,111326.75%,20221021
油菜籽,6968.00,2211,6307,6619.49%,2307,5708,126018.08%,20221021
硅铁,8071.43,2210,8030,410.51%,2301,7988,831.03%,20221021
锰硅,7225.00,2210,7242,-17-0.24%,2301,7018,2072.87%,20221021
甲醇MA,2894.00,2210,2790,1043.59%,2301,2676,2187.53%,20221021
棉纱,26125.00,2210,22155,397015.20%,2301,20105,602023.04%,20221021
尿素,2506.00,2210,2276,2309.18%,2301,2244,26210.45%,20221021
纯碱,2745.00,2210,2592,1535.57%,2301,2442,30311.04%,20221021
涤纶短纤,7922.00,2210,7762,1602.02%,2212,7184,7389.32%,20221021
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20221021
棕榈油,8517.50,2210,8142,3754.40%,2301,8208,3093.63%,20221021
聚氯乙烯,6178.57,2210,6098,801.29%,2301,5901,2774.48%,20221021
聚乙烯,8457.14,2210,8343,1141.35%,2301,7767,6908.16%,20221021
豆一,5812.50,2211,5800,120.21%,2301,5631,1813.11%,20221021
豆粕,5312.00,2211,4840,4728.89%,2301,4049,126323.78%,20221021
豆油,10944.00,2211,10420,5244.79%,2301,9578,136612.48%,20221021
玉米,2792.86,2211,2843,-50-1.79%,2301,2870,-77-2.76%,20221021
铁矿石,740.56,2210,762.5,-21-2.84%,2301,678.5,628.37%,20221021
鸡蛋,12.09,2210,5231,81413.47%,2301,4465,158026.14%,20221021
聚丙烯,8008.33,2210,8020,-11-0.14%,2301,7613,3954.93%,20221021
玉米淀粉,3210.00,2211,2892,3189.91%,2301,3055,1554.83%,20221021
乙二醇,4158.33,2210,3972,1864.47%,2301,4059,992.38%,20221021
苯乙烯,8633.33,2210,8526,1071.24%,2211,8418,2152.49%,20221021
液化石油气,5520.00,2210,5237,2835.13%,2212,4959,56110.16%,20221021
生猪,27.73,2211,26200,15305.52%,2301,23365,436515.74%,20221021
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20221024
铜,64610.00,2211,63610,10001.55%,2212,62750,18602.88%,20221024
螺纹钢,3854.44,2211,3711,1433.71%,2301,3637,2175.63%,20221024
锌,25076.00,2211,24635,4411.76%,2211,24635,4411.76%,20221024
铝,18666.67,2211,18595,710.38%,2211,18595,710.38%,20221024
黄金,392.79,2211,389.1,3.690.94%,2212,390.42,2.370.60%,20221024
线材,4156.00,2211,4656,-500-12.03%,2301,4347,-191-4.60%,20221024
燃料油,6670.00,2211,3033,363754.53%,2301,2687,398359.72%,20221024
天然橡胶,11693.00,2211,11395,2982.55%,2301,12345,-652-5.58%,20221024
铅,15243.75,2211,15315,-71-0.47%,2212,15300,-56-0.37%,20221024
白银,4533.67,2211,4483,501.10%,2212,4478,551.21%,20221024
石油沥青,4468.00,2211,4187,2816.29%,2212,3865,60313.50%,20221024
热轧卷板,3836.00,2211,3794,421.09%,2301,3662,1744.54%,20221024
镍,193633.33,2211,185790,78434.05%,2211,185790,78434.05%,20221024
锡,175575.00,2211,169530,60453.44%,2212,164350,112256.39%,20221024
纸浆,7510.00,2211,7184,3264.34%,2301,6800,7109.45%,20221024
